                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     59,               0.039013,               0.026755,               0.021255,               0.021016,                0.48161,                0.44588,                0.39372,                0.20629,                 0.4893,                0.44701,                0.39325,                0.22791,               0.053571,                0.02572,               0.013793,               0.038607,               0.008086,               0.008086,               0.008086
                     60,               0.039122,               0.025432,               0.021201,               0.020894,                0.48748,                0.43833,                0.39223,                 0.2089,                0.49078,                0.43303,                0.39457,                 0.2316,               0.054737,               0.025687,               0.013718,               0.039394,               0.008053,               0.008053,               0.008053
                     61,               0.039434,               0.027085,               0.021385,               0.021701,                0.47182,                0.43505,                0.37835,                0.20113,                0.46398,                0.42811,                0.36702,                0.20985,               0.053743,               0.028279,               0.013824,               0.039644,                0.00802,                0.00802,                0.00802
                     62,                0.03916,               0.025477,               0.020807,               0.019772,                0.47787,                0.45289,                0.39822,                0.20856,                0.49567,                0.43823,                0.39268,                0.22872,               0.053748,               0.026902,                0.01355,               0.039936,               0.007987,               0.007987,               0.007987
                     63,               0.038374,                0.02589,               0.020548,               0.019509,                0.48379,                0.43222,                0.39972,                0.22075,                0.47817,                0.42536,                0.39161,                0.23229,               0.053274,               0.026716,               0.013795,               0.039078,               0.007954,               0.007954,               0.007954
                     64,               0.038943,               0.025582,               0.020925,               0.019013,                 0.4835,                 0.4426,                0.39558,                0.20856,                0.49508,                0.43172,                0.39064,                0.22589,                0.05408,               0.026975,               0.013774,               0.038985,               0.007921,               0.007921,               0.007921
                     65,                0.03807,               0.025592,               0.020725,               0.018356,                0.48504,                0.44428,                0.40118,                0.22106,                0.48794,                0.43692,                0.40054,                0.23742,               0.052743,                0.02608,               0.013747,               0.036996,               0.007888,               0.007888,               0.007888
                     66,               0.038116,               0.024846,               0.020649,               0.017463,                0.49147,                0.39596,                0.37354,                0.19796,                0.47897,                0.38704,                0.36583,                0.21675,               0.054363,               0.026924,               0.013925,               0.038712,               0.007855,               0.007855,               0.007855
                     67,               0.036886,               0.025475,               0.020658,               0.017503,                0.47033,                0.42562,                0.38806,                0.21389,                0.47769,                0.41764,                0.38724,                0.22803,               0.054364,               0.027549,               0.014011,               0.040221,               0.007822,               0.007822,               0.007822
                     68,               0.037808,               0.025645,               0.020797,               0.019071,                0.48339,                0.41805,                 0.3813,                0.20661,                0.47767,                0.41372,                0.37542,                0.21567,               0.053527,                0.02682,               0.013916,               0.039477,               0.007789,               0.007789,               0.007789
                     69,               0.037221,               0.025355,               0.020777,               0.017842,                0.45266,                 0.3717,                0.33362,                0.17171,                0.45061,                0.36661,                0.32724,                0.17825,               0.055304,               0.028788,               0.014589,               0.045645,               0.007756,               0.007756,               0.007756
                     70,                0.03687,               0.024943,               0.020095,               0.018548,                 0.4772,                0.38066,                0.36226,                0.19614,                0.50404,                0.35722,                0.34769,                0.19853,               0.057464,               0.032409,               0.014531,               0.043077,               0.007723,               0.007723,               0.007723
                     71,               0.037274,               0.025101,               0.020287,               0.018151,                0.42786,                0.40516,                0.35446,                 0.1901,                0.43316,                0.40037,                0.35349,                0.20397,               0.054649,               0.027213,               0.014137,               0.041013,                0.00769,                0.00769,                0.00769
                     72,               0.037123,               0.025125,               0.020315,                0.01726,                0.43265,                0.39352,                0.32772,                0.17026,                0.44025,                0.40063,                0.33548,                0.19073,               0.054263,               0.026921,               0.014118,               0.040047,               0.007657,               0.007657,               0.007657
                     73,                0.03752,               0.024704,               0.020336,               0.016424,                0.51582,                0.42077,                0.40524,                0.21791,                0.50611,                0.42042,                0.39965,                0.23151,               0.054252,                 0.0268,               0.013884,                0.03967,               0.007624,               0.007624,               0.007624
                     74,               0.036906,               0.024723,               0.020019,               0.016316,                0.50156,                  0.438,                0.40017,                0.22521,                0.50318,                0.42774,                 0.3949,                0.23277,               0.054309,               0.029403,               0.014129,               0.039238,               0.007591,               0.007591,               0.007591
                     75,               0.036237,                0.02431,               0.020029,               0.016887,                0.51124,                0.43095,                0.40566,                0.22731,                0.51153,                0.43232,                 0.4049,                0.24264,                0.05311,               0.025964,               0.013797,               0.037906,               0.007558,               0.007558,               0.007558
